,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
0,SPX,20080508,1394.29,1397.68,1402.35,1389.39,1392.57,5.11,0.37,0.93,
1,SPX,20080507,1417.83,1392.57,1419.54,1391.16,1418.26,-25.69,-1.81,2.0,
2,SPX,20080506,1407.44,1418.26,1421.57,1397.1,1407.49,10.76,0.76,1.74,
3,SPX,20080505,1412.77,1407.49,1415.7,1404.37,1413.9,-6.4,-0.45,0.8,
4,SPX,20080502,1409.34,1413.9,1422.72,1406.25,1409.34,4.56,0.32,1.17,
5,SPX,20080501,1385.97,1409.34,1410.07,1383.07,1385.59,23.75,1.71,1.95,
6,SPX,20080430,1390.88,1385.59,1404.57,1384.25,1390.94,-5.35,-0.38,1.46,
7,SPX,20080429,1396.34,1390.94,1397.0,1386.7,1396.37,-5.43,-0.39,0.74,
8,SPX,20080428,1397.78,1396.37,1402.9,1394.4,1397.84,-1.48,-0.11,0.61,
9,SPX,20080425,1387.88,1397.84,1399.11,1379.98,1388.82,9.02,0.65,1.38,
10,SPX,20080424,1380.52,1388.82,1397.72,1371.09,1379.93,8.89,0.64,1.93,
11,SPX,20080423,1375.93,1379.93,1387.87,1372.24,1375.94,3.99,0.29,1.14,
12,SPX,20080422,1386.43,1375.94,1386.43,1369.84,1388.17,-12.22,-0.88,1.2,
13,SPX,20080421,1390.29,1388.17,1390.23,1379.25,1390.33,-2.16,-0.16,0.79,
14,SPX,20080418,1369.0,1390.33,1395.9,1369.0,1365.56,24.77,1.81,1.97,
15,SPX,20080417,1363.37,1365.56,1368.6,1357.25,1364.71,0.85,0.06,0.83,
16,SPX,20080416,1337.02,1364.71,1365.49,1337.02,1334.43,30.27,2.27,2.13,
17,SPX,20080415,1331.72,1334.43,1337.72,1324.35,1328.32,6.12,0.46,1.01,
18,SPX,20080414,1332.81,1328.32,1335.64,1326.16,1332.83,-4.51,-0.34,0.71,
19,SPX,20080411,1357.98,1332.83,1357.98,1331.21,1360.55,-27.72,-2.04,1.97,
20,SPX,20080410,1354.42,1360.55,1367.24,1350.11,1354.49,6.06,0.45,1.26,
21,SPX,20080409,1365.5,1354.49,1368.39,1349.97,1365.54,-11.05,-0.81,1.35,
22,SPX,20080408,1370.16,1365.54,1370.16,1360.62,1372.54,-7.0,-0.51,0.7,
23,SPX,20080407,1370.39,1372.54,1386.74,1369.02,1370.4,2.14,0.16,1.29,
24,SPX,20080404,1369.29,1370.4,1380.91,1362.83,1369.31,1.09,0.08,1.32,
25,SPX,20080403,1367.52,1369.31,1375.66,1358.68,1367.53,1.78,0.13,1.24,
26,SPX,20080402,1369.96,1367.53,1377.95,1361.55,1370.18,-2.65,-0.19,1.2,
27,SPX,20080401,1326.41,1370.18,1370.18,1326.41,1322.7,47.47,3.59,3.31,
28,SPX,20080331,1315.92,1322.7,1328.52,1312.81,1315.22,7.49,0.57,1.19,
29,SPX,20080328,1325.7,1315.22,1334.87,1312.95,1325.76,-10.55,-0.8,1.65,
30,SPX,20080327,1340.34,1325.76,1345.62,1325.66,1341.13,-15.36,-1.15,1.49,
31,SPX,20080326,1352.95,1341.13,1352.45,1336.41,1352.99,-11.86,-0.88,1.19,
32,SPX,20080325,1349.87,1352.99,1357.47,1341.21,1349.88,3.1,0.23,1.2,
33,SPX,20080324,1330.29,1349.88,1359.68,1330.29,1329.51,20.38,1.53,2.21,
34,SPX,20080320,1299.67,1329.51,1330.67,1295.22,1298.42,31.09,2.39,2.73,
35,SPX,20080319,1330.72,1298.42,1341.51,1298.42,1330.74,-32.31,-2.43,3.24,
36,SPX,20080318,1276.57,1330.74,1330.74,1277.16,1276.6,54.14,4.24,4.2,
37,SPX,20080317,1283.21,1276.6,1287.5,1256.98,1288.14,-11.54,-0.9,2.37,
38,SPX,20080314,1315.45,1288.14,1321.47,1274.86,1315.48,-27.34,-2.08,3.54,
39,SPX,20080313,1305.26,1315.48,1321.68,1282.11,1308.77,6.71,0.51,3.02,
40,SPX,20080312,1321.13,1308.77,1333.26,1307.86,1320.65,-11.88,-0.9,1.92,
41,SPX,20080311,1274.4,1320.65,1320.65,1274.4,1273.37,47.28,3.71,3.63,
42,SPX,20080310,1293.16,1273.37,1295.01,1272.66,1293.37,-20.0,-1.55,1.73,
43,SPX,20080307,1301.53,1293.37,1313.24,1282.43,1304.34,-10.97,-0.84,2.36,
44,SPX,20080306,1332.2,1304.34,1332.2,1303.42,1333.7,-29.36,-2.2,2.16,
45,SPX,20080305,1326.3,1333.7,1344.19,1320.22,1326.75,6.95,0.52,1.81,
46,SPX,20080304,1331.33,1326.75,1331.03,1307.39,1331.34,-4.58,-0.34,1.78,
47,SPX,20080303,1330.6,1331.34,1335.13,1320.04,1330.63,0.7,0.05,1.13,
48,SPX,20080229,1367.64,1330.63,1364.07,1325.42,1367.68,-37.05,-2.71,2.83,
49,SPX,20080228,1379.86,1367.68,1378.16,1363.16,1380.02,-12.34,-0.89,1.09,
50,SPX,20080227,1378.95,1380.02,1388.34,1372.0,1381.29,-1.26,-0.09,1.18,
51,SPX,20080226,1371.76,1381.29,1387.34,1363.29,1371.8,9.49,0.69,1.75,
52,SPX,20080225,1352.75,1371.8,1374.36,1346.03,1353.11,18.68,1.38,2.09,
53,SPX,20080222,1342.39,1353.11,1354.3,1327.04,1342.53,10.58,0.79,2.03,
54,SPX,20080221,1359.57,1342.53,1367.94,1339.34,1360.03,-17.5,-1.29,2.1,
55,SPX,20080220,1348.39,1360.03,1363.71,1336.55,1348.78,11.25,0.83,2.01,
56,SPX,20080219,1349.98,1348.78,1367.28,1345.05,1349.99,-1.22,-0.09,1.65,
57,SPX,20080215,1348.78,1349.99,1350.0,1338.13,1348.86,1.13,0.08,0.88,
58,SPX,20080214,1367.33,1348.86,1368.16,1347.31,1367.21,-18.35,-1.34,1.53,
59,SPX,20080213,1348.35,1367.21,1369.23,1350.78,1348.86,18.35,1.36,1.37,
60,SPX,20080212,1339.08,1348.86,1362.1,1339.36,1339.13,9.73,0.73,1.7,
61,SPX,20080211,1331.22,1339.13,1341.4,1320.32,1331.29,7.83,0.59,1.58,
62,SPX,20080208,1336.88,1331.29,1341.22,1321.06,1336.91,-5.61,-0.42,1.51,
63,SPX,20080207,1324.01,1336.91,1347.16,1316.75,1326.45,10.46,0.79,2.29,
64,SPX,20080206,1339.48,1326.45,1351.96,1324.34,1336.64,-10.19,-0.76,2.07,
65,SPX,20080205,1380.28,1336.64,1380.28,1336.64,1380.82,-44.18,-3.2,3.16,
66,SPX,20080204,1395.41,1380.82,1395.38,1379.69,1395.42,-14.59,-1.05,1.12,
67,SPX,20080201,1378.55,1395.42,1396.02,1375.93,1378.55,16.87,1.22,1.46,
68,SPX,20080131,1351.98,1378.55,1385.62,1334.08,1355.81,22.73,1.68,3.8,
69,SPX,20080130,1362.23,1355.81,1385.86,1352.95,1362.3,-6.48,-0.48,2.42,
70,SPX,20080129,1353.89,1362.3,1364.93,1350.19,1353.97,8.33,0.61,1.09,
71,SPX,20080128,1330.59,1353.97,1353.97,1322.26,1330.61,23.37,1.76,2.38,
72,SPX,20080125,1357.32,1330.61,1368.56,1327.5,1352.07,-21.47,-1.59,3.04,
73,SPX,20080124,1340.13,1352.07,1355.15,1334.31,1338.6,13.47,1.01,1.56,
74,SPX,20080123,1310.41,1338.6,1339.09,1270.05,1310.5,28.1,2.14,5.27,
75,SPX,20080122,1312.94,1310.5,1322.09,1274.29,1325.19,-14.69,-1.11,3.61,
76,SPX,20080118,1333.9,1325.19,1350.28,1312.51,1333.25,-8.06,-0.6,2.83,
77,SPX,20080117,1374.79,1333.25,1377.72,1330.67,1373.2,-39.95,-2.91,3.43,
78,SPX,20080116,1377.41,1373.2,1391.99,1364.27,1380.95,-7.75,-0.56,2.01,
79,SPX,20080115,1416.24,1380.95,1411.88,1380.6,1416.25,-35.31,-2.49,2.21,
80,SPX,20080114,1401.02,1416.25,1417.89,1402.91,1401.02,15.24,1.09,1.07,
81,SPX,20080111,1419.91,1401.02,1419.91,1394.83,1420.33,-19.32,-1.36,1.77,
82,SPX,20080110,1406.78,1420.33,1429.07,1395.3,1409.13,11.2,0.8,2.4,
83,SPX,20080109,1390.08,1409.13,1409.19,1378.7,1390.19,18.94,1.36,2.19,
84,SPX,20080108,1415.71,1390.19,1430.28,1388.3,1416.18,-25.99,-1.84,2.96,
85,SPX,20080107,1411.62,1416.18,1423.87,1403.45,1411.63,4.55,0.32,1.45,
86,SPX,20080104,1447.16,1411.63,1444.01,1411.19,1447.16,-35.53,-2.46,2.27,
87,SPX,20080103,1447.55,1447.16,1456.8,1443.73,1447.16,0.01,0.0,0.9,
88,SPX,20080102,1468.07,1447.16,1471.77,1442.07,1468.36,-21.2,-1.44,2.02,
89,SPX,20071231,1475.25,1468.36,1475.83,1465.13,1478.49,-10.13,-0.69,0.72,
90,SPX,20071228,1476.23,1478.49,1487.9,1471.74,1476.37,2.12,0.14,1.09,
91,SPX,20071227,1497.23,1476.37,1495.05,1475.86,1497.66,-21.29,-1.42,1.28,
92,SPX,20071226,1496.43,1497.66,1498.85,1488.2,1496.45,1.21,0.08,0.71,
93,SPX,20071224,1484.55,1496.45,1497.63,1484.55,1484.46,11.99,0.81,0.88,
94,SPX,20071221,1463.19,1484.46,1485.4,1463.19,1460.12,24.35,1.67,1.52,
95,SPX,20071220,1452.62,1460.12,1461.53,1447.22,1453.0,7.12,0.49,0.98,
96,SPX,20071219,1454.94,1453.0,1464.4,1445.49,1454.98,-1.98,-0.14,1.3,
97,SPX,20071218,1445.92,1454.98,1460.16,1435.65,1445.9,9.08,0.63,1.7,
98,SPX,20071217,1465.05,1445.9,1467.92,1445.46,1467.95,-22.05,-1.5,1.53,
99,SPX,20071214,1486.19,1467.95,1488.39,1467.87,1488.41,-20.46,-1.37,1.38,
100,SPX,20071213,1486.54,1488.41,1489.4,1469.21,1486.59,1.82,0.12,1.36,
101,SPX,20071212,1477.46,1486.59,1511.96,1468.23,1477.65,8.94,0.61,2.96,
102,SPX,20071211,1515.94,1477.65,1523.57,1475.99,1515.96,-38.31,-2.53,3.14,
103,SPX,20071210,1505.11,1515.96,1518.27,1504.96,1504.66,11.3,0.75,0.88,
104,SPX,20071207,1508.6,1504.66,1510.41,1502.71,1507.34,-2.68,-0.18,0.51,
105,SPX,20071206,1484.59,1507.34,1508.02,1482.19,1485.01,22.34,1.5,1.74,
106,SPX,20071205,1465.22,1485.01,1485.85,1462.06,1462.79,22.22,1.52,1.63,
107,SPX,20071204,1471.34,1462.79,1471.34,1460.66,1472.42,-9.63,-0.65,0.73,
108,SPX,20071203,1479.63,1472.42,1481.16,1470.08,1481.14,-8.73,-0.59,0.75,
109,SPX,20071130,1469.72,1481.14,1488.74,1469.72,1469.72,11.43,0.78,1.29,
110,SPX,20071129,1468.92,1469.72,1473.81,1458.36,1469.02,0.7,0.05,1.05,
111,SPX,20071128,1432.95,1469.02,1471.62,1432.95,1428.23,40.79,2.86,2.71,
112,SPX,20071127,1409.59,1428.23,1429.49,1407.43,1407.22,21.01,1.49,1.57,
113,SPX,20071126,1440.74,1407.22,1446.09,1406.1,1440.7,-33.49,-2.32,2.78,
114,SPX,20071123,1416.61,1440.7,1440.86,1417.62,1416.77,23.93,1.69,1.64,
115,SPX,20071121,1434.71,1416.77,1436.4,1415.64,1439.7,-22.94,-1.59,1.44,
116,SPX,20071120,1434.51,1439.7,1452.64,1419.28,1433.27,6.43,0.45,2.33,
117,SPX,20071119,1458.71,1433.27,1456.7,1430.42,1458.74,-25.47,-1.75,1.8,
118,SPX,20071116,1451.11,1458.74,1462.18,1443.99,1451.15,7.59,0.52,1.25,
119,SPX,20071115,1468.04,1451.15,1472.67,1443.49,1470.58,-19.43,-1.32,1.98,
120,SPX,20071114,1483.4,1470.58,1492.14,1466.47,1481.05,-10.47,-0.71,1.73,
121,SPX,20071113,1441.35,1481.05,1481.37,1441.35,1439.18,41.87,2.91,2.78,
122,SPX,20071112,1453.66,1439.18,1464.94,1438.53,1453.7,-14.51,-1.0,1.82,
123,SPX,20071109,1467.59,1453.7,1474.09,1448.51,1474.77,-21.08,-1.43,1.73,
124,SPX,20071108,1475.56,1474.77,1482.5,1450.31,1475.62,-0.85,-0.06,2.18,
125,SPX,20071107,1515.46,1475.62,1515.46,1475.04,1520.27,-44.65,-2.94,2.66,
126,SPX,20071106,1505.33,1520.27,1520.77,1499.07,1502.17,18.1,1.2,1.44,
127,SPX,20071105,1505.61,1502.17,1510.84,1489.95,1509.65,-7.48,-0.5,1.38,
128,SPX,20071102,1508.38,1509.65,1513.15,1492.53,1508.44,1.21,0.08,1.37,
129,SPX,20071101,1549.01,1508.44,1545.79,1506.66,1549.38,-40.93,-2.64,2.53,
130,SPX,20071031,1530.93,1549.38,1552.76,1529.4,1531.02,18.36,1.2,1.53,
131,SPX,20071030,1540.95,1531.02,1539.42,1529.55,1540.98,-9.96,-0.65,0.64,
132,SPX,20071029,1535.06,1540.98,1544.67,1536.43,1535.28,5.7,0.37,0.54,
133,SPX,20071026,1522.17,1535.28,1535.53,1520.18,1514.4,20.87,1.38,1.01,
134,SPX,20071025,1515.86,1514.4,1523.24,1500.46,1515.88,-1.48,-0.1,1.5,
135,SPX,20071024,1519.57,1515.88,1517.23,1489.56,1519.59,-3.71,-0.24,1.82,
136,SPX,20071023,1509.3,1519.59,1520.01,1503.61,1506.33,13.26,0.88,1.09,
137,SPX,20071022,1500.6,1506.33,1508.06,1490.4,1500.63,5.7,0.38,1.18,
138,SPX,20071019,1540.08,1500.63,1540.0,1500.26,1540.08,-39.45,-2.56,2.58,
139,SPX,20071018,1541.2,1540.08,1542.79,1531.76,1541.24,-1.16,-0.08,0.72,
140,SPX,20071017,1538.39,1541.24,1550.66,1526.01,1538.53,2.71,0.18,1.6,
